OBJECTID,GRID_ID,Sum_Cnt
1,850d1c83fffffff,304
2,850d1c87fffffff,1590
3,850d1c8ffffffff,1497
4,850d1cbbfffffff,2468
5,850d1c17fffffff,15
6,850d1cabfffffff,2578
7,850d1c33fffffff,1707
8,850d1cabfffffff,135
9,850d1c23fffffff,3749
10,850d1c33fffffff,228
11,850d1c2ffffffff,1231
12,850d1ba3fffffff,435
13,850d1baffffffff,1012
14,850c26dbfffffff,22
15,850d1baffffffff,10
16,850d1b37fffffff,214
17,850c35b7fffffff,1292
18,850c22cbfffffff,4130
19,850c2253fffffff,2280
20,850c22cbfffffff,57
21,850c2257fffffff,260
22,850c2243fffffff,1763
23,850c2257fffffff,36
24,850c2247fffffff,837
25,850c224ffffffff,667
26,850c227bfffffff,1791
27,850c31b7fffffff,65
28,850c226bfffffff,1041
